device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W),trail_nr,browser,notification_status,frequency,distribution
pixel5g-wifid,com-android-chrome,0,4320.0,-89602.50233863424,59.98219831618335,46.088979572880014,46.59818992861741,0.3870828101028999,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,1,4320.0,-91728.62172284644,59.99630056179775,47.10957503688001,47.67733807720989,0.3962676458426966,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,2,4320.0,-91029.31337698783,59.89882039289055,46.748118816,47.33155808942818,0.3932466337885875,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,3,4320.0,-87688.27009345795,59.934152336448605,44.90893410552,45.596623707385575,0.3788133268037383,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,4,4320.0,-91437.15262172284,59.99172565543071,47.02214864375999,47.54993812334697,0.3950084993258427,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,5,4320.0,-85940.10757717493,59.975092609915805,44.147858876640015,44.685377084576245,0.3712612647333957,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,6,4320.0,-94192.40692235736,60.01333021515435,48.502653590880016,48.999025718076254,0.4069111979045837,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,7,4320.0,-92910.04115996258,60.01784658559401,47.73313713168,48.303038462669406,0.4013713778110383,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,8,4320.0,-67156.95197740113,60.2309745762712,35.07298739424,35.125451835742375,0.2918656881355932,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,9,4320.0,-91973.97006548176,59.97166697848456,47.29237793208003,47.82591994814772,0.3973275506828811,trial1,chrome,off,idle,
pixel5g-wifid,com-android-chrome,10,4320.0,-90921.09644194756,59.98977528089888,46.751835307680025,47.25486514872405,0.3927791366292135,trial1,chrome,off,idle,
