trail_nr browser notification_status frequency distribution Energy_trapz(J)
trial6 chrome on idle " " 47.98491382348301
trial6 chrome on idle " " 46.365043949679006
trial6 chrome on idle " " 47.17748921194401
trial6 chrome on idle " " 48.48648712270999
trial6 chrome on idle " " 48.17217309140601
trial6 chrome on idle " " 50.22825943226
trial6 chrome on idle " " 53.77558247898197
trial6 chrome on idle " " 49.213844814589
trial6 chrome on idle " " 48.87981880672801
trial6 chrome on idle " " 48.71636582103202
trial6 chrome on idle " " 50.44615860647998
trial6 chrome on idle " " 47.80978268894098
trial6 chrome on idle " " 49.73136551383
trial6 chrome on idle " " 50.841957640292
trial6 chrome on idle " " 47.199063908269
trial6 chrome on idle " " 49.125340017754
trial6 chrome on idle " " 49.99475573119298
trial6 chrome on idle " " 46.95655934023601
trial6 chrome on idle " " 47.536570897452
trial6 chrome on idle " " 48.596218577179016
trial6 chrome on idle " " 37.548152753202
trial7 chrome on low even 61.62464989485999
trial7 chrome on low even 63.28975588169004
trial7 chrome on low even 60.78133913747999
trial7 chrome on low even 63.03078899883997
trial7 chrome on low even 61.95125557803003
trial7 chrome on low even 66.98093851696004
trial7 chrome on low even 64.78470968111999
trial7 chrome on low even 61.22234668836002
trial7 chrome on low even 58.45803512705001
trial7 chrome on low even 62.65519414622001
trial7 chrome on low even 64.0343584101
trial7 chrome on low even 65.54189686889
trial7 chrome on low even 59.58225271465999
trial7 chrome on low even 63.54778002053004
trial7 chrome on low even 65.36936750382998
trial7 chrome on low even 61.25374295169996
trial7 chrome on low even 64.13922141172
trial7 chrome on low even 70.67579116884
trial7 chrome on low even 61.854628700540005
trial7 chrome on low even 63.34207655763001
trial7 chrome on low even 63.4172418555
trial7 chrome on low even 61.64460332186
trial7 chrome on low even 62.38473696065004
trial7 chrome on low even 63.8031288659699
trial7 chrome on low even 62.95037301058999
trial7 chrome on low even 62.67272395020007
trial7 chrome on low even 62.34441575154001
trial7 chrome on low even 65.35414469454
trial7 chrome on low even 63.38891151632002
trial7 chrome on low even 61.85932489528997
trial8 chrome on low burst 62.10044590791696
trial8 chrome on low burst 63.89219083479496
trial8 chrome on low burst 64.35140935895001
trial8 chrome on low burst 63.774946867796
trial8 chrome on low burst 61.12824558123795
trial8 chrome on low burst 61.81092081879002
trial8 chrome on low burst 59.340731075237
trial8 chrome on low burst 73.77961415493303
trial8 chrome on low burst 64.65265256401099
trial8 chrome on low burst 61.94789988773202
trial8 chrome on low burst 61.250679960828
trial8 chrome on low burst 61.85804352925901
trial8 chrome on low burst 65.10373559848098
trial8 chrome on low burst 61.36132443732201
trial8 chrome on low burst 63.48926153897203
trial8 chrome on low burst 64.68110016255496
trial8 chrome on low burst 61.961603610981015
trial8 chrome on low burst 54.40853051835499
trial8 chrome on low burst 60.94733997629702
trial8 chrome on low burst 59.581124312864006
trial8 chrome on low burst 62.00952817352194
trial8 chrome on low burst 67.72002303297397
trial8 chrome on low burst 61.20641379617195
trial8 chrome on low burst 62.756042793425024
trial8 chrome on low burst 66.23077416837299
trial8 chrome on low burst 61.27702539175601
trial8 chrome on low burst 61.35279499332003
trial8 chrome on low burst 69.80046238387399
trial8 chrome on low burst 60.20660449389698
trial8 chrome on low burst 70.92048768429807
trial9 chrome on high even 66.44445800323604
trial9 chrome on high even 73.06510088269951
trial9 chrome on high even 70.47117128402351
trial9 chrome on high even 73.38866834423904
trial9 chrome on high even 76.33558635262202
trial9 chrome on high even 68.51640212357245
trial9 chrome on high even 71.85608580832846
trial9 chrome on high even 70.03045059181345
trial9 chrome on high even 66.46203648501849
trial9 chrome on high even 69.92947094196649
trial9 chrome on high even 68.61454924314049
trial9 chrome on high even 67.99096363644604
trial9 chrome on high even 69.32906043611155
trial9 chrome on high even 72.39023314819808
trial9 chrome on high even 72.78695155667202
trial9 chrome on high even 69.09494882813499
trial9 chrome on high even 70.31829689503101
trial9 chrome on high even 72.41949626887603
trial9 chrome on high even 82.38113857353696
trial9 chrome on high even 70.07575137630155
trial9 chrome on high even 75.77200443022099
trial9 chrome on high even 74.05706189781495
trial9 chrome on high even 70.42136238594095
trial9 chrome on high even 71.45259244503603
trial9 chrome on high even 70.9370140832625
trial9 chrome on high even 67.7012128194805
trial9 chrome on high even 71.57668501435745
trial9 chrome on high even 74.14436398164992
trial9 chrome on high even 74.93094220509101
trial9 chrome on high even 69.55858768592745
trial10 chrome on high burst 75.82444178968748
trial10 chrome on high burst 69.03638090781257
trial10 chrome on high burst 79.28068675625005
trial10 chrome on high burst 67.22134957124995
trial10 chrome on high burst 68.04433740562504
trial10 chrome on high burst 68.28223619000002
trial10 chrome on high burst 73.1318904596875
trial10 chrome on high burst 72.42454545812495
trial10 chrome on high burst 79.01816978343743
trial10 chrome on high burst 76.95375925343751
trial10 chrome on high burst 65.93037455593753
trial10 chrome on high burst 63.657960025625
trial10 chrome on high burst 67.29822443531253
trial10 chrome on high burst 71.74115494875002
trial10 chrome on high burst 67.10013926218753
trial10 chrome on high burst 70.81279582343745
trial10 chrome on high burst 68.52915855843757
trial10 chrome on high burst 67.35756633375004
trial10 chrome on high burst 65.527509621875
trial10 chrome on high burst 63.612684821874986
trial10 chrome on high burst 70.16644035625005
trial10 chrome on high burst 76.13045286656252
trial10 chrome on high burst 68.83715199374998
trial10 chrome on high burst 66.0203576571875
trial10 chrome on high burst 65.94705616843748
trial10 chrome on high burst 65.52661254343747
trial10 chrome on high burst 66.86470712468741
trial10 chrome on high burst 66.81053853687496
trial10 chrome on high burst 70.02047713937495
trial10 chrome on high burst 67.06594391000002
trial11 firefox off idle " " 34.7427541326625
trial11 firefox off idle " " 33.88398527841248
trial11 firefox off idle " " 35.09848257448298
trial11 firefox off idle " " 43.02282690692401
trial11 firefox off idle " " 36.67236554901249
trial11 firefox off idle " " 38.24118172675296
trial11 firefox off idle " " 34.30787997189299
trial11 firefox off idle " " 33.927404703380006
trial11 firefox off idle " " 35.41710706172951
trial11 firefox off idle " " 41.2517242541455
trial11 firefox off idle " " 35.78402075143252
trial11 firefox off idle " " 33.95191810194051
trial11 firefox off idle " " 34.79400148369952
trial11 firefox off idle " " 35.69340155498597
trial11 firefox off idle " " 36.08082238545698
trial11 firefox off idle " " 35.77163243928599
trial11 firefox off idle " " 35.11847667657548
trial11 firefox off idle " " 35.912611554953514
trial11 firefox off idle " " 35.31368440293551
trial11 firefox off idle " " 39.97048079517647
trial11 firefox off idle " " 40.65278817769696
trial11 firefox off idle " " 36.58175053765752
trial11 firefox off idle " " 37.8919854660985
trial11 firefox off idle " " 35.178906053527
trial11 firefox off idle " " 34.228745762468506
trial11 firefox off idle " " 34.74489367232601
trial11 firefox off idle " " 34.58835644449751
trial11 firefox off idle " " 33.985321757982504
trial11 firefox off idle " " 35.25526017840652
trial11 firefox off idle " " 35.365541394850005
trial12 firefox off low even 37.606357528278
trial12 firefox off low even 37.54853741972597
trial12 firefox off low even 38.73083709989599
trial12 firefox off low even 39.94726481509001
trial12 firefox off low even 38.71824900252402
trial12 firefox off low even 36.87548436871201
trial12 firefox off low even 39.65382229110997
trial12 firefox off low even 38.16665782439401
trial12 firefox off low even 40.73422501977197
trial12 firefox off low even 40.13445932429599
trial12 firefox off low even 36.90021293618397
trial12 firefox off low even 42.686370022262
trial12 firefox off low even 39.363035407985976
