device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W),trail_nr,browser,notification_status,frequency,distribution
pixel5g-wifid,com-android-chrome,0,4186.0,-95266.75023299162,60.115365330848086,47.247344238094,48.05179335219162,0.3987866164753029,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,1,4186.0,-94993.47211895912,60.29486802973978,47.36176723787601,48.06664882549642,0.3976426742899628,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,2,4186.0,-97472.37558247904,59.97231314072693,48.392242108028,49.136547971099255,0.4080193641882572,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,3,4186.0,-95324.79310344828,60.03104007455732,47.29540066296499,48.07668039034676,0.3990295839310345,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,4,4186.0,-99065.28078358209,59.988296641791045,49.25312663207299,49.92627331302618,0.4146872653600746,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,5,4186.0,-97340.10830999068,60.02107096171802,48.39283181496398,49.04786790990735,0.4074656933856209,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,6,4186.0,-93274.61100746268,60.08684328358208,46.309590385604,47.05048815219399,0.3904475216772388,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,7,4186.0,-96476.71521942112,60.003709617180206,47.78953919084803,48.607570139786674,0.4038515299084967,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,8,4186.0,-98748.96089385476,59.98711359404096,48.86377099294598,49.73998787580067,0.413363150301676,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,9,4186.0,-96529.92723880598,59.99646082089552,47.98491382348301,48.648118315113145,0.4040742754216418,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,10,4186.0,-93428.018639329,59.97776048462256,46.365043949679006,47.0930645426078,0.3910896860242311,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,11,4186.0,-94998.4192343604,60.01325210084033,47.17748921194401,47.868729718397056,0.3976633829150326,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,12,4186.0,-97979.82990654206,59.95165981308411,48.48648712270999,49.2943351494361,0.4101435679887851,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,13,4186.0,-96878.7852474323,60.00132492997199,48.17217309140601,48.819876689987765,0.4055345950457516,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,14,4186.0,-101266.12126865672,59.95636473880597,50.22825943226,51.00110263053165,0.423899983630597,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,15,4186.0,-108382.40837209302,59.91950511627908,53.77558247898197,54.60144243997573,0.4536887614455814,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,16,4186.0,-99135.58395522388,59.989264925373135,49.213844814589,49.94220011333199,0.4149815544365671,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,17,4186.0,-97715.55844155845,60.38535899814471,48.87981880672801,49.51928599564109,0.4090373276363636,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,18,4186.0,-98239.1296641791,59.96638246268657,48.71636582103202,49.490998532784666,0.4112289967742537,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,19,4186.0,-101707.87138863,59.987696178937554,50.44615860647998,51.22613768381912,0.4257491496328052,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,20,4186.0,-96206.25,60.06679104477612,47.80978268894098,48.513990722924994,0.4027193624999999,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,21,4186.0,-100406.6753488372,59.94632186046512,49.73136551383,50.58632909768255,0.4203023430102325,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,22,4186.0,-102928.71069767444,59.85820093023256,50.841957640292,51.85696682877983,0.430859582980465,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,23,4186.0,-95090.58675373136,59.94851585820896,47.199063908269,47.89248318251038,0.3980491961511194,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,24,4186.0,-98939.38583410995,59.99363746505126,49.125340017754,49.89181681732236,0.4141602691015843,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,25,4186.0,-100567.94780987884,60.07952656104381,49.99475573119298,50.71094116144314,0.4209774295321529,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,26,4186.0,-94506.33893557424,59.94631185807656,46.95655934023601,47.58279756032247,0.3956035347843137,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,27,4186.0,-95855.55555555556,59.96819887955182,47.536570897452,48.26130929215556,0.4012513555555556,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,28,4186.0,-97827.62162162164,60.042166821994414,48.596218577179016,49.31808717461178,0.409506424108108,trial6,chrome,on,idle,
pixel5g-wifid,com-android-chrome,29,4186.0,-73496.60881801126,60.13734146341464,37.548152753202,37.62731824850122,0.3126179213414634,trial6,chrome,on,idle,
