device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W),trail_nr,browser,notification_status,frequency,distribution
pixel5g-wifid,com-android-chrome,0,4215.0,-94805.89674418604,60.2123023255814,47.703055627800005,48.29448643404342,0.3996068547767442,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,1,4215.0,-97385.82713754648,60.11982527881041,48.9155644015425,49.57135904986895,0.4104812613847583,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,2,4215.0,-103326.84643848288,60.38328122109158,52.16058306496502,52.82802733832883,0.4355226577382053,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,3,4215.0,-97619.80762081784,60.29813568773235,49.11920188409248,49.78838911870965,0.4114674891217472,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,4,4215.0,-101284.78737233055,60.23803528319407,51.08016392960999,51.68621799283459,0.4269153787743732,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,5,4215.0,-92369.31255813951,60.23124279069768,46.41080818163999,47.08598540854115,0.3893366524325581,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,6,4215.0,-103613.52685185186,60.30322314814815,52.28343020730748,52.93747660368718,0.4367310156805555,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,7,4215.0,-125115.17560073936,60.14645101663586,62.57041328822248,63.779502016566816,0.5273604651571164,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,8,4215.0,-97973.6835793358,60.810110701107,49.91552323329752,50.394634956519305,0.4129590762869003,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,9,4215.0,-102730.33395004626,60.4806873265495,51.99431060693251,52.61701057369655,0.4330083575994449,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,10,4215.0,-114831.50693802036,60.66099259944495,58.009408713817486,58.8595879956529,0.4840148017437557,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,11,4215.0,-93889.63011152417,60.142612453531605,47.2086647666175,47.821009045199936,0.3957447909200743,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,12,4215.0,-92664.1843575419,60.2368147113594,46.63967735177249,47.2320022584429,0.3905795370670391,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,13,4215.0,-96844.28055555555,60.45327314814815,48.92051235421502,49.51531173758924,0.4081986425416666,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,14,4215.0,-92730.18959107807,60.2964749070632,46.612960814527526,47.29183335554805,0.390857749126394,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,15,4215.0,-92822.31104921077,60.30999350046425,46.870811277232505,47.39319793926693,0.3912460410724234,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,16,4215.0,-97920.25231910948,60.30429128014842,49.398871669432495,50.00477123537699,0.4127338635250464,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,17,4215.0,-102509.6976744186,60.17826604651162,51.72296003874746,52.20803013555,0.4320783756976744,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,18,4215.0,-93598.86691312384,60.55795748613679,47.4342713897625,47.977088316136495,0.394519224038817,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,19,4215.0,-95123.94609665428,60.19238382899628,47.78065777151247,48.46772851884783,0.4009474327973977,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,20,4215.0,-102025.59128822984,60.440371640407776,51.47552403176248,52.182514967210814,0.4300378672798887,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,21,4215.0,-98452.6728110599,60.72463041474654,49.805631921914994,50.57378577558042,0.4149780158986175,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,22,4215.0,-88555.31607142858,62.79304642857143,46.47562930730248,47.03420215829018,0.3732606572410715,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,23,4215.0,-92538.17936802974,60.25610594795539,46.62308438256,47.227453472894624,0.3900484260362453,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,24,4215.0,-104983.42830882352,60.96294485294117,53.594156034330005,54.16307290452532,0.4425051503216911,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,25,4215.0,-102703.69202566452,61.131978001833176,52.35822042757497,53.08604406934702,0.432896061888176,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,26,4215.0,-89328.60667903525,60.355887755102046,44.95680343181252,45.63498639099289,0.3765200771521336,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,27,4215.0,-94354.10204081632,60.36386827458255,47.58207900129747,48.21308123403031,0.3977025401020408,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,28,4215.0,-98565.72222222222,60.36911944444445,49.57908862671748,50.324005906658336,0.4154545191666667,trial8,chrome,on,low,burst
pixel5g-wifid,com-android-chrome,29,4215.0,-98860.50414746544,60.697161290322576,50.098439061405,50.73327948853074,0.4166970249815668,trial8,chrome,on,low,burst
