device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4183.0,-89601.77846975089,63.23175088967972,46.86609207148598,47.38949841354043,0.37480423933896795
pixel5g-wifid,org-mozilla-firefox,1,4183.0,-80482.52270620945,60.709465245597784,40.56974610718899,40.92587748184021,0.3366583924800741
pixel5g-wifid,org-mozilla-firefox,2,4183.0,-81174.34726090994,60.67292107706592,40.91258780940646,41.22504408646161,0.33955229459238623
pixel5g-wifid,org-mozilla-firefox,3,4183.0,-80512.50324374421,60.79863762743282,40.66111834402749,40.97648507601437,0.33678380106858197
pixel5g-wifid,org-mozilla-firefox,4,4183.0,-80224.92407407408,60.80443240740742,40.38944356852001,40.829116177511104,0.3355808574018518
pixel5g-wifid,org-mozilla-firefox,5,4183.0,-83636.89196675901,61.067084949215136,42.42104818289099,42.721264079167106,0.3498531190969529
pixel5g-wifid,org-mozilla-firefox,6,4183.0,-81218.0350877193,61.00866020313943,40.98944313507148,41.460245170684004,0.33973504077192984
pixel5g-wifid,org-mozilla-firefox,7,4183.0,-79239.57474466109,60.667069637883,39.862917746512,40.24079703215555,0.3314591411569173
pixel5g-wifid,org-mozilla-firefox,8,4183.0,-84835.0306122449,60.74345454545455,42.77446437525252,43.12283179942695,0.3548649330510204
pixel5g-wifid,org-mozilla-firefox,9,4183.0,-84631.24563017479,61.155103035878575,43.02753012781048,43.360867107692556,0.3540125004710212
pixel5g-wifid,org-mozilla-firefox,10,4183.0,-82732.83977900553,61.28571731123389,42.12689982785798,42.406213500335205,0.3460714687955801
pixel5g-wifid,org-mozilla-firefox,11,4183.0,-84270.19259259259,60.7607824074074,42.435929935324495,42.86814694313325,0.3525022156148148
pixel5g-wifid,org-mozilla-firefox,12,4183.0,-80397.66573816157,60.714279480037135,40.568498594367014,40.841698151762046,0.33630343578272975
pixel5g-wifid,org-mozilla-firefox,13,4183.0,-82345.03981481481,60.7519962962963,41.39156994622448,41.846112296842406,0.34444930154537035
pixel5g-wifid,org-mozilla-firefox,14,4183.0,-84411.29787234042,60.732518963922296,42.510870325419475,42.945929603252,0.35309245899999997
pixel5g-wifid,org-mozilla-firefox,15,4183.0,-80823.24883936862,60.56043175487465,40.530637830517996,41.011913317822334,0.3380836498950789
pixel5g-wifid,org-mozilla-firefox,16,4183.0,-78921.80947955391,60.64964591078067,39.720957694338026,40.06291754022366,0.330129929052974
pixel5g-wifid,org-mozilla-firefox,17,4183.0,-92262.02682701203,60.53285661424607,46.204358257865,46.86450169345426,0.3859320582173913
pixel5g-wifid,org-mozilla-firefox,18,4183.0,-81714.93587360595,60.715041821561336,41.157466880899996,41.518044287490845,0.3418135767592937
pixel5g-wifid,org-mozilla-firefox,19,4183.0,-79910.64874884152,60.80528452270621,40.30436306564151,40.65245776205792,0.3342662437164041
pixel5g-wifid,org-mozilla-firefox,20,4183.0,-79951.94330855018,60.55270074349442,40.205339151347,40.552063942649866,0.3344389788596654
pixel5g-wifid,org-mozilla-firefox,21,4183.0,-81029.83286908078,60.67047818012999,40.79349419784348,41.166903942710725,0.3389477908913649
pixel5g-wifid,org-mozilla-firefox,22,4183.0,-91323.57550644568,61.09107918968692,45.94911280675199,46.58149259640544,0.3820065163434622
pixel5g-wifid,org-mozilla-firefox,23,4183.0,-81474.7154772938,60.74248841519926,41.064815129197996,41.44234215672882,0.3408087348415199
pixel5g-wifid,org-mozilla-firefox,24,4183.0,-78578.21541318478,60.68581615598885,39.53499678019649,39.91019330008146,0.32869267507335187
pixel5g-wifid,org-mozilla-firefox,25,4183.0,-78637.8107606679,60.690486085343224,39.890751108512475,40.134712699085654,0.3305145531131725
pixel5g-wifid,org-mozilla-firefox,26,4183.0,-80141.16218721039,60.801838739573675,40.4668487892735,40.790509749811584,0.335230481429101
pixel5g-wifid,org-mozilla-firefox,27,4183.0,-85004.71322849214,60.85812950971322,42.89025810177548,43.30117769621696,0.35557471543478264
pixel5g-wifid,org-mozilla-firefox,28,4183.0,-80309.57249070633,60.63622862453533,40.36260796914348,40.76637704865204,0.3359349417286245
pixel5g-wifid,org-mozilla-firefox,29,4183.0,-85966.17685185185,60.679272222222224,43.202855107720985,43.71830624456312,0.3595965177712963
