device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4440.0,-96526.35273368607,63.708916225749554,53.97043741367999,54.56771015245334,0.42857700613756616
pixel5g-wifid,org-mozilla-firefox,1,4440.0,-89025.67224669603,63.768808810572686,49.95714390671999,50.4796500476879,0.39527398477533043
pixel5g-wifid,org-mozilla-firefox,2,4440.0,-89586.45057880676,63.12791540516474,49.85671958490002,50.307579499918944,0.39776384056990216
pixel5g-wifid,org-mozilla-firefox,3,4440.0,-89364.39858906525,63.7650520282187,50.149850287439975,50.67092229479535,0.3967779297354498
pixel5g-wifid,org-mozilla-firefox,4,4440.0,-90260.6925795053,63.42192137809188,50.56072869773999,50.98436597624311,0.4007574750530036
pixel5g-wifid,org-mozilla-firefox,5,4440.0,-89577.71989528796,64.4222652705061,50.865757707840004,51.310512097988486,0.3977250763350786
pixel5g-wifid,org-mozilla-firefox,6,4440.0,-90875.52447552448,64.33851048951048,51.56578964184,51.98490393868531,0.40348732867132864
pixel5g-wifid,org-mozilla-firefox,7,4440.0,-85996.34036939315,64.01904925241865,48.51694976028001,48.92498636515092,0.38182375124010554
pixel5g-wifid,org-mozilla-firefox,8,4440.0,-90559.73433362754,63.655729920564866,50.76251108670001,51.260638498400816,0.4020852204413063
pixel5g-wifid,org-mozilla-firefox,9,4440.0,-86448.11929824561,64.0878701754386,48.71349262067997,49.22346576445221,0.3838296496842105
pixel5g-wifid,org-mozilla-firefox,10,4440.0,-86676.18453427065,64.02788400702988,48.8506005,49.32638690538116,0.3848422593321617
pixel5g-wifid,org-mozilla-firefox,11,4440.0,-86863.96910856134,63.76183142100618,48.7341611559,49.225759175440245,0.38567602284201236
pixel5g-wifid,org-mozilla-firefox,12,4440.0,-89907.80212014134,63.61555830388693,50.41338524424001,50.8632747663333,0.39919064141342764
pixel5g-wifid,org-mozilla-firefox,13,4440.0,-92282.06607929515,63.87676475770926,51.71338989606002,52.34208150371683,0.40973237339207047
pixel5g-wifid,org-mozilla-firefox,14,4440.0,-87508.92876224399,63.04043365983971,48.56868757068,49.08188195131,0.3885396437043634
pixel5g-wifid,org-mozilla-firefox,15,4440.0,-88803.56227758007,63.093059608540926,49.350185676959995,49.83048853866064,0.3942878165124555
pixel5g-wifid,org-mozilla-firefox,16,4440.0,-88912.0505319149,63.4807420212766,49.77056035704,50.14835967807575,0.39476950436170216
pixel5g-wifid,org-mozilla-firefox,17,4440.0,-85321.53748946925,66.77631929233361,50.102072515260005,50.63713117275215,0.37882762645324347
pixel5g-wifid,org-mozilla-firefox,18,4440.0,-87649.97625329815,63.86139226033422,49.27035251669999,49.740071316096255,0.38916589456464384
pixel5g-wifid,org-mozilla-firefox,19,4440.0,-92600.95840707964,63.578755752212395,51.89386395245998,52.29353544684096,0.4111482553274337
pixel5g-wifid,org-mozilla-firefox,20,4440.0,-89972.88800705467,63.62754850088182,50.41471965738,50.957221198535976,0.39947962275132276
pixel5g-wifid,org-mozilla-firefox,21,4440.0,-99975.00530503978,63.13064014146773,55.44550682327999,56.28424040864786,0.4438890235543767
pixel5g-wifid,org-mozilla-firefox,22,4440.0,-96643.1043859649,63.99024824561403,54.3475527564,54.99844258597253,0.42909538347368426
pixel5g-wifid,org-mozilla-firefox,23,4440.0,-87208.42287234042,63.47846897163121,48.76563624263998,49.209546769637555,0.3872053975531915
pixel5g-wifid,org-mozilla-firefox,24,4440.0,-86972.77541998231,63.64333952254642,48.73718055348003,49.19667225296553,0.38615912286472154
pixel5g-wifid,org-mozilla-firefox,25,4440.0,-90468.99912739966,64.42818760907504,51.34062756930001,51.818630669633926,0.40168235612565445
pixel5g-wifid,org-mozilla-firefox,26,4440.0,-87281.44581497797,63.78294625550661,48.97897344521999,49.492957814414595,0.3875296194185022
pixel5g-wifid,org-mozilla-firefox,27,4440.0,-86160.69937555754,63.116019625334516,47.83026648204003,48.326454101366075,0.38255350522747555
pixel5g-wifid,org-mozilla-firefox,28,4440.0,-86970.6074270557,63.68289036251105,48.75113277174,49.22440712703183,0.3861494969761273
pixel5g-wifid,org-mozilla-firefox,29,4440.0,-94621.3951048951,64.25491608391609,53.60143615320001,54.04704825530392,0.42011899426573435
