device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4309.0,-112352.27466666666,63.096771555555556,60.569374284904015,61.06571102328125,0.4841259515386666
pixel5g-wifid,org-mozilla-firefox,1,4309.0,-96672.6286731968,63.195732858414964,52.1510331981745,52.576001320441335,0.416562356952805
pixel5g-wifid,org-mozilla-firefox,2,4309.0,-101177.27087033748,63.29566163410303,54.49364818625649,55.03111024911655,0.4359728601802842
pixel5g-wifid,org-mozilla-firefox,3,4309.0,-95783.47284060552,63.183825467497776,51.57795288477699,52.08706297111981,0.41273098447016915
pixel5g-wifid,org-mozilla-firefox,4,4309.0,-129202.4308370044,63.37135770925111,69.71233446129752,70.73351925553312,0.5567332744766521
pixel5g-wifid,org-mozilla-firefox,5,4309.0,-112003.00513259196,65.74212660393499,62.97833046031702,63.405775053006344,0.48262094911633874
pixel5g-wifid,org-mozilla-firefox,6,4309.0,-105385.13879003559,63.00578113879004,56.82701317761752,57.258952563629435,0.45410456304626334
pixel5g-wifid,org-mozilla-firefox,7,4309.0,-97994.17379679144,63.02234670231729,52.65701307628649,53.191278792445566,0.4222568948903744
pixel5g-wifid,org-mozilla-firefox,8,4309.0,-102562.3113490364,69.0561494646681,60.588018395005506,59.52666662565112,0.4426235193674518
pixel5g-wifid,org-mozilla-firefox,9,4309.0,-96757.39145907473,63.21900355871887,52.29800848705548,52.64169567798834,0.41692759979715305
pixel5g-wifid,org-mozilla-firefox,10,4309.0,-99539.05431878896,63.242311665182555,53.72530484626449,54.16409060490418,0.4289137850596616
pixel5g-wifid,org-mozilla-firefox,11,4309.0,-95352.0169642857,63.04953035714285,51.345183583189005,51.783821621084876,0.4108718410991072
pixel5g-wifid,org-mozilla-firefox,12,4309.0,-96521.73843416371,63.25960676156585,52.124530243384,52.547591409637334,0.4159121709128114
pixel5g-wifid,org-mozilla-firefox,13,4309.0,-99394.23864648264,63.19908904719502,53.65105368580501,54.07329716796865,0.4282897743276937
pixel5g-wifid,org-mozilla-firefox,14,4309.0,-99191.76381461676,63.07039126559714,53.38782253567649,53.856718181476516,0.4274173102771836
pixel5g-wifid,org-mozilla-firefox,15,4309.0,-96312.39590747331,63.30660409252668,51.96607405059396,52.447318162479064,0.41501011396530246
pixel5g-wifid,org-mozilla-firefox,16,4309.0,-98126.376114082,63.129502673796786,52.86891666802501,53.327307902238736,0.42282655467557934
pixel5g-wifid,org-mozilla-firefox,17,4309.0,-96928.07925200356,63.116602849510244,52.23065823964948,52.67191038398546,0.4176630934968834
pixel5g-wifid,org-mozilla-firefox,18,4309.0,-97398.74176313446,63.15903116651826,52.46123161882049,52.921378813538354,0.4196911782573464
pixel5g-wifid,org-mozilla-firefox,19,4309.0,-103340.13434163701,63.10229092526691,55.48316879481752,56.12423891155859,0.4452926388781139
pixel5g-wifid,org-mozilla-firefox,20,4309.0,-96998.87232142857,63.023999107142856,52.21580518128446,52.627622516710026,0.41796814083303574
pixel5g-wifid,org-mozilla-firefox,21,4309.0,-97943.06945681211,63.228398040961714,52.837413883582,53.28888423101781,0.4220366862894034
pixel5g-wifid,org-mozilla-firefox,22,4309.0,-97237.61353517364,63.178231522707044,52.4914145264005,52.8686069080394,0.4189968767230633
pixel5g-wifid,org-mozilla-firefox,23,4309.0,-98690.92520035619,63.028579697239536,53.17585231171651,53.57287782120636,0.42525919668833484
pixel5g-wifid,org-mozilla-firefox,24,4309.0,-94520.57486631015,63.057564171123,50.914510520983015,51.347758613776364,0.4072891570989305
pixel5g-wifid,org-mozilla-firefox,25,4309.0,-94660.63725490196,63.101895721925125,51.051095677597004,51.44097819354912,0.40789268593137257
pixel5g-wifid,org-mozilla-firefox,26,4309.0,-98312.63579697239,63.14299643811219,52.96019842060899,53.43530979702135,0.42362914764915405
pixel5g-wifid,org-mozilla-firefox,27,4309.0,-98535.84724689166,63.2623055062167,53.168235710389496,53.67042103028756,0.4245909657868562
pixel5g-wifid,org-mozilla-firefox,28,4309.0,-97776.7479964381,63.14010418521816,52.599474628712485,53.142356457644645,0.42132000711665185
pixel5g-wifid,org-mozilla-firefox,29,4309.0,-96548.6512042819,63.065548617305986,51.992246815332486,52.417049224117356,0.4160281380392507
