device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4074.0,-76795.41048824594,62.37503074141049,38.83085594919301,39.04799280669206,0.31286450232911395
pixel5g-wifid,org-mozilla-firefox,1,4074.0,-78469.74397859054,63.04847814451382,40.055841931686,40.35712743493851,0.31968573696877783
pixel5g-wifid,org-mozilla-firefox,2,4074.0,-75258.23771224308,63.18787846291332,38.50401726423,38.748981602487426,0.3066020604396783
pixel5g-wifid,org-mozilla-firefox,3,4074.0,-89477.49243098842,63.14721015138024,45.39590217976796,45.986717614181764,0.36453130416384677
pixel5g-wifid,org-mozilla-firefox,4,4074.0,-100725.49097472924,61.94998736462094,50.350544739830994,51.046601466141304,0.41035565023104686
pixel5g-wifid,org-mozilla-firefox,5,4074.0,-76689.92231255646,62.37534146341463,38.67110412845399,38.99466790166062,0.31243474350135503
pixel5g-wifid,org-mozilla-firefox,6,4074.0,-76056.51711711712,62.51761441441441,38.50047990576899,38.78383685601539,0.3098542507351351
pixel5g-wifid,org-mozilla-firefox,7,4074.0,-78999.95045045044,62.544156756756756,40.05465278812197,40.26677149628303,0.32184579813513514
pixel5g-wifid,org-mozilla-firefox,8,4074.0,-77720.5917266187,62.7290476618705,39.43568292010198,39.72454620080923,0.3166336906942446
pixel5g-wifid,org-mozilla-firefox,9,4074.0,-78394.38591800357,63.05821301247772,39.99905090334301,40.31326059209677,0.3193787282299465
pixel5g-wifid,org-mozilla-firefox,10,4074.0,-75535.50627240143,63.066909498207885,38.558499674919005,38.808038703555106,0.30773165255376345
pixel5g-wifid,org-mozilla-firefox,11,4074.0,-74400.19038984587,62.26291115140527,37.44393817300503,37.72340708767638,0.3031063756482321
pixel5g-wifid,org-mozilla-firefox,12,4074.0,-81504.6257889991,62.33047339945897,41.00703912983998,41.404291380490214,0.33204984546438227
pixel5g-wifid,org-mozilla-firefox,13,4074.0,-79088.42844284429,62.599193519351935,40.01462870399399,40.35923360520478,0.3222062574761477
pixel5g-wifid,org-mozilla-firefox,14,4074.0,-76883.44122965643,62.36685081374321,38.733410859842984,39.06832219851873,0.3132231395696202
pixel5g-wifid,org-mozilla-firefox,15,4074.0,-77755.03257918551,62.27363800904977,39.19970275017301,39.48524589199011,0.3167740027276018
pixel5g-wifid,org-mozilla-firefox,16,4074.0,-78641.7357142857,63.140784821428575,40.202407452920994,40.487553709812296,0.3203864313
pixel5g-wifid,org-mozilla-firefox,17,4074.0,-79465.42150910667,64.93455247181265,41.80763879951398,42.08000169710851,0.3237421272281006
pixel5g-wifid,org-mozilla-firefox,18,4074.0,-76279.38349954669,62.308902991840434,38.468185452395986,38.72936174341947,0.3107622083771532
pixel5g-wifid,org-mozilla-firefox,19,4074.0,-73981.19021739131,62.32720833333333,37.288289609697,37.5757607258234,0.30139936894565217
pixel5g-wifid,org-mozilla-firefox,20,4074.0,-78668.5634057971,62.16797826086957,39.543080968671006,39.89915408492604,0.32049572731521736
pixel5g-wifid,org-mozilla-firefox,21,4074.0,-76227.81165919283,62.83178654708521,38.722725448386015,39.055032687015604,0.3105521046995515
pixel5g-wifid,org-mozilla-firefox,22,4074.0,-74739.45972850679,62.3712814479638,37.67795842708799,37.98190284141925,0.3044885589339366
pixel5g-wifid,org-mozilla-firefox,23,4074.0,-77458.3865470852,62.786900448430494,39.32499621855001,39.664370217590566,0.3155654667928251
pixel5g-wifid,org-mozilla-firefox,24,4074.0,-76993.95949594959,62.56262826282629,39.001720093812,39.284141813758104,0.31367339098649866
pixel5g-wifid,org-mozilla-firefox,25,4074.0,-80278.6357913669,62.74268705035971,40.616702820141015,40.95384741244068,0.32705516221402875
pixel5g-wifid,org-mozilla-firefox,26,4074.0,-80439.65734896302,62.4457664562669,40.637727827676,40.95340874771016,0.3277111640396754
pixel5g-wifid,org-mozilla-firefox,27,4074.0,-79879.23667570009,62.32133785004516,40.19557342180799,40.572737173779814,0.3254280102168022
pixel5g-wifid,org-mozilla-firefox,28,4074.0,-77763.4263775971,62.37662782294489,39.23498195446197,39.55382046113104,0.3168081990623306
pixel5g-wifid,org-mozilla-firefox,29,4074.0,-101462.95671776375,62.23451127141568,50.812927252353006,51.55840348539078,0.41336008566816945
